house,price,area
3 Bedroom Independent House in Sector 1 Greater Noida West,"₹ 6.25 - 16.36 Cr
₹ 19,841/sq.ft.","3,150-8,245 sq.ft.
(293-766 sq.m.) Built-up Area"
6 Bedroom Independent House in Palam Vihar,"₹ 38.42 Lac
₹ 2,650/sq.ft.","1,450 sq.ft.
(135 sq.m.) Built-up Area"
4 Bedroom Independent House in Sector-108 Gurgaon,"₹ 3.15 - 6 Cr
₹ 8,350/sq.ft.","4,200-6,300 sq.ft.
(390-585 sq.m.) Built-up Area"
9 Bedroom Independent House in A1 Block Janakpuri,"₹ 3.25 Cr
₹ 21,567/sq.ft.","1,506 sq.ft.
(140 sq.m.) Plot Area"
9 Bedroom Independent House in Malibu Town,"₹ 1.5 Cr
₹ 10,000/sq.ft.","1,600 sq.ft.
(149 sq.m.) Plot Area"
8 Bedroom Independent House in Sector-44 Noida,₹ 42.5 Lac,"9,099 sq.ft.
(845 sq.m.) Built-up Area"
15 Bedroom Independent House in Sector-54 Gurgaon,"₹ 3.15 - 6 Cr
₹ 8,347/sq.ft.","4,200-6,300 sq.ft.
(390-585 sq.m.) Built-up Area"
3 Bedroom Independent House in Sector ZETA I Gr Noida,"₹ 2.16 - 3.88 Cr
₹ 7,150/sq.ft.","3,023-5,427 sq.ft.
(281-504 sq.m.) Built-up Area"
3 Bedroom Independent House in Sector ZETA I Gr Noida,"₹ 6.24 - 16.33 Cr
₹ 19,800/sq.ft.","3,150-8,245 sq.ft.
(293-766 sq.m.) Built-up Area"
4 Bedroom Independent House in Sector ZETA I Gr Noida,"₹ 5.95 - 7.22 Cr
₹ 8,500/sq.ft.","7,000-8,500 sq.ft.
(650-790 sq.m.) Built-up Area"
2 Bedroom Independent House in Sector Xu-I Gr Noida,"₹ 6.5 Cr
₹ 10,236/sq.ft.","6,350 sq.ft.
(590 sq.m.) Built-up Area"
5 Bedroom Independent House in Sector-39 Noida,"₹ 4 - 4.6 Cr
₹ 10,233/sq.ft.","3,909-4,497 sq.ft.
(363-418 sq.m.) Built-up Area"
4 Bedroom Independent House in Sector ZETA Gr Noida,"₹ 1.37 Cr
₹ 5,490/sq.ft.","2,495 sq.ft.
(232 sq.m.) Built-up Area"
6 Bedroom Independent House in Sector-70 Gurgaon,"₹ 1.65 - 2.91 Cr
₹ 5,490/sq.ft.","3,000-5,305 sq.ft.
(279-493 sq.m.) Built-up Area"
